N°,Objetivo del Indicador,Tipo de indicador,Nombre del indicador,Categoría del indicador,CR, Relación con CADP Director del indicador,Fórmula de cálculo,Unidad de Medida,Medios de Verificación ,Notas
70,Mejorar niveles de aprendizaje de todos los estudiantes a través de una gestión pedagógica de calidad,Reformulado,Porcentaje de cumplimiento del Plan de mejora de la convivencia escolar en el territorio,Apoyo técnico-pedagógico,Apoyo técnico pedagogico,Apoyo Técnico Pedagógico: gestión educativa,(Número de hitos cumplidos en el año t del Plan de mejora de la convivencia escolar en el territorio / Total de hitos planificados del Plan de mejora de la convivencia escolar en el territorio para el año t) * 100,Porcentaje,"1. Plan de mejora de la convivencia escolar en el territorio formalizado.
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan","Para el cálculo del denominador:
1. El Plan de mejora de la convivencia escolar en el territorio (en adelante Plan):
a) Debe estar validado el jefe/a del centro de responsabilidad y formalizado a más tardar en el mes de marzo del año t mediante envío del plan al Director Ejecutivo a través de un memorándum o correo electrónico.
b) Debe esta formalizado mediante el envío de un memorándum o correo electrónico por el(la) Jefe/a del centro de responsabilidad al Director(a) Ejecutivo (a), a más tardar en marzo.
c) Contener los hitos con sus respectivas fechas programadas y medios de verificación.
d) Contener hitos que estén asociados a la mejora de los índices de desarrollo personal y social 
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan."
71,Fomentar la participación y cumplimiento del proceso de vinculación con las entidades de gobernanza del Servicio,Reformulado,Porcentaje de sesiones con el Comité Directivo Local de Educación Pública con acta publicada ,Apoyo técnico-pedagógico,Apoyo técnico pedagogico,Gobernanza: trabajo en red,(Número de sesiones del Comité Directivo Local de Educación Pública con acta publicada en el año t / Total de sesiones del Comité Directivo Local de Educación Pública con acta aprobada en el año t) *100,Porcentaje,"1. Informe consolidado de las sesiones del Comité Directivo publicadas en el sitio web del SLEP.
2. Actas de las sesiones del Comité Directivo aprobadas","Para el cálculo del denominador:
1. Según el artículo 32 de ley 21.040, un funcionario del servicio local designado por el director ejecutivo cumplirá las funciones de secretario del Comité Directivo Local, actuará como ministro de fe y registrará sus sesiones. Con un máximo de 8 sesiones en un año escolar, según artículo 32.
Para el cálculo del numerador:
1. El secretario del comité directivo local será el responsable del proceso de publicación de las actas, una vez aprobadas, en el sitio electrónico del servicio local. Dichas actas contendrán, como mínimo, la asistencia a la sesión, los acuerdos adoptados y la forma como fueron votados. 
2. Se entiende que un acta está efectivamente publicada cuando se encuentra en el sitio web del Servicio.
Sobre el indicador:
1. El artículo 37 señala la publicidad de las sesiones: las sesiones del Comité Directivo local serán públicas y sus acuerdos se adoptarán en la sala legalmente constituida."
72,"Mejorar las condiciones físicas, de higiene, equipamiento y los recursos educativos.",Reformulado,Porcentaje de proyectos de inversión con declaración de admisibilidad en el año t,Infraestructura,Planificación y control de gestión,Infraestructura,Número total de proyectos con certificado de admisibilidad para el año t/ Número total de proyectos presentados a admisibilidad para el año t,Cantidad,"1. Listado de cartera de proyectos
2. Certificados de admisibilidad de los proyectos presentados en cartera

3. Informe de avance

4. informe de cumplimiento","Para el cálculo del denominador:
1. Se considerarán los proyectos presentados a admisibilidad hasta octubre del año t.
Para el cálculo del numerador: 
1. Se considerará que el proyecto es admisible cuando recibe el certificado de admisibilidad.
Sobre el indicador:
1. La cartera de proyectos de inversión debe estar formalizado a más tardar en marzo del año t por el Jefe/a de CR y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a). 
2. La cartera de proyectos debe contener, al menos, lo siguiente:
a) Fecha de postulación del proyecto
b) Nombre de la iniciativa/proyecto
c) Nombre del Establecimiento y RBD o Código Junji
d) Monto de la inversión
e) Proyección de ejecución presupuestaria
f) Código BIP
3. El informe de avance debe: tener fecha de corte a junio, estar validado por el jefe/a de área y ser enviado en el mes de julio por Memorándum o correo electrónico al Jefe/a de CR
4. El informe de cumplimiento debe: tener fecha de corte al a diciembre, estar validado por el jefe/a de área y ser enviado en el mismo mes por Memorándum o correo electrónico al Jefe/a de CR"
73,"Mejorar las condiciones físicas, de higiene, equipamiento y los recursos educativos.",Nuevo,Catastro de certificaciones vigentes de los Establecimientos al año t,Infraestructura,Planificación y control de gestión,Infraestructura,(Estado de certificaciones de cada establecimiento vigente en el año t / cantidad de establecimientos vigentes en el año t) x 100,Porcentaje,"1. Planilla del estado de certificaciones de cada establecimiento
2. Listado de total de establecimientos vigentes al año t
3. Documentos de certificación en cada caso","Para el cálculo del denominador:
1. El servicio debe definir a más tardar en marzo el listado de establecimientos vigentes en el año t y ser validado y enviado por el jefe del centro de responsabilidad al jefe del servicio mediante memorándum o correo electrónico.

Para el cálculo del numerador:
1.El estado de las certificaciones debe incluir para cada establecimiento: sello verde, resolución de cocina, T1 electricidad, inscripción de calderas, entre otros.

Sobre el indicador:
1.El catastro documental será definido a más tardar en el mes de marzo del año t e incluye certificaciones del tipo: sello verde, resolución de cocina, T1 electricidad, inscripción de calderas, entre otros."
74,"Mejorar las condiciones físicas, de higiene, equipamiento y los recursos educativos.",Nuevo,Porcentaje de cumplimiento de elegibilidades técnicas de proyectos de conservación de establecimientos educativos del territorio,Infraestructura,Planificación y control de gestión,Infraestructura,(Número de proyectos de conservación elegibles técnicamente en el año t / Total de proyectos de conservación presentados a elegibilidad técnica en el año t) * 100,Porcentaje,"1. Listado de establecimientos con proyectos de conservación para elegibilidad 
3. Informes de avance 
4. Informe de cumplimiento","Para el cálculo del denominador:
1. La planilla con los establecimientos con proyecto de conservación para conseguir elegibilidad debe estar validado por el jefe/a del centro de responsabilidad a más tardar en diciembre del año t y enviado mediante memorándum o correo electrónico al jefe de servicio.

Para el cálculo del numerador:
1. Informe de avance de la cantidad de proyectos de conservación con elegibilidad técnica con corte al 30 de junio.
2. Informe de cumplimiento de los proyectos de conservación planificados para conseguir elegibilidad con corte al 31 de diciembre.
3. Un proyecto es elegible técnicamente cuando es aprobado técnicamente.

Sobre el indicador:
1. Los informes de avance y cumplimiento deben ser validados por el jefe del centro de responsabilidad mediante su firma y enviados mediante memorándum o correo electrónico al Jefe de Servicio.
2. La planilla de proyectos de conservación podrá ser modificado a más tardar en el mes de junio del año t."
75,"Mejorar las condiciones físicas, de higiene, equipamiento y los recursos educativos.",Nuevo,Porcentaje de cumplimiento del Plan de certificación de gas de los Establecimientos Educacionales (E.E),Infraestructura,Planificación y control de gestión,Infraestructura,(Número hitos cumplidos del plan de certificación de gas / Total de hitos planificados del plan de certificación de gas en el año t x 100 ,Porcentaje,"1. Diagnóstico de EE con certificación de gas
2. Plan de establecimientos con certificación en el año t 
3. Informes de avance 
4. Informe de cumplimiento","Para el cálculo del denominador:
1. El Plan de certificación (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en abril del año t.
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación. 
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.
Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. 1.Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
76,"Mejorar las condiciones físicas, de higiene, equipamiento y los recursos educativos.",Reformulado,Porcentaje de cumplimiento del Plan de mantención de la infraestructura de los Establecimientos Educacionales (E.E),Infraestructura,Planificación y control de gestión,Infraestructura,"(Número de hitos cumplidos en el año t del Plan de mantención de la infraestructura de los E.E / Número total de hitos del Plan de mantención de la infraestructura de los E.E para el año t) * 100
",Porcentaje,"1. Plan de mantención de la infraestructura de los EE.
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de mantención de la infraestructura de los Establecimientos Educacionales (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación. 
c) Debe detallar los establecimientos educacionales que recibirán la mantención.
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan Sobre el indicador:
3. Se entiende por mantención de infraestructura a aquella que se ejecuta mediante el subtítulo 22.
4. La ejecución de la subvención de mantenimiento estará en base a la disponibilidad presupuestaria."
77,Mantener  a Establecimientos  Educacionales con inventario de activo fijo actualizados,Reformulado,Porcentaje de cumplimiento del Plan de registro de activos fijos de los establecimientos educacionales (EE).,Infraestructura,Administración y finanzas,Infraestructura, (Número de hitos cumplidos en el año t del Plan de registro de activos fijos de los EE /Número total de hitos del Plan de registro de activos fijos de los EE para el año t)*100,Porcentaje,"1. Plan de registro de activos fijos de los establecimientos educacionales (EE)
2. Informe de avance del Plan 
3. Informe de cumplimiento del Plan ","Para el cálculo del denominador:
1. El Plan de registro de activos fijos de los establecimientos educacionales (EE) (en adelante Plan):
a) Debe estar validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar en marzo del año t
b) Debe contener los hitos con sus respectivas descripciones, fechas programadas y medios de verificación. 
c) Los activos comprenden todos aquellos bienes detallados en el subtítulo 29 de la ley de presupuesto.
2. El plan puede ser modificado solamente hasta junio, en sus actividades programadas con posterioridad a la fecha de la modificación.

Para el cálculo del numerador:
1. Se considerará que una actividad está implementada cuando los medios de verificación especificados en el  Plan demuestren la ejecución de dicha actividad.

Sobre el indicador:
1. Los informes de avance y el de cumplimiento del Plan:
a) Deben tener fecha de corte en junio y diciembre correspondientemente.
b) Deben ser validados por el jefe del centro de responsabilidad y enviados mediante un memorándum o correo electrónico al Director(a) Ejecutivo (a), a más tardar a la primera quincena del mes siguiente al mes de corte.
c) Deben contener los medios de verificación declarados en el Plan"
78,"Mejorar las condiciones físicas, de higiene, equipamiento y los recursos educativos.",Reformulado,Porcentaje de Proyectos de inversión y/o conservación que inician obras en el año t ,Infraestructura,Planificación y control de gestión,Infraestructura,(Número de proyectos de inversión y/o conservación que inician obras en el año t/ Número total de proyectos de inversión y/o conservación planificados a iniciar obra en el año t)*100,Porcentaje,"1. Plan de proyectos de inversión y/o conservación que iniciarán obra en el año t
2. Listado de proyectos de inversión y/o conservación que iniciaron obra en el año t 
3. Informe de avance
4. Informe de cumplimiento","Para el cálculo del denominador:
1. El listado de proyectos de inversión y/o conservación que inician obra deberá indicar al menos:
a) Fecha de acta entrega de terreno
b) Nombre del proyecto.
c) Nombre del EE y RBD
d) Monto de la inversión.
e) Código BIP (Banco Integrado de Proyectos)
f) Plazo inicial de ejecución de contrato
2. El Plan de proyectos de inversión y/o conservación planificados a iniciar en el año t, debe estar formalizado a más tardar en marzo del año t por el Jefe de Servicio.
3. Puede ser modificado solamente hasta junio, en sus hitos programados con posterioridad a la fecha de la modificación.
Para el cálculo del numerador:
1. Se considerarán para el numerador los proyectos de inversión y/o conservación que inician obras en el año t y que se puedan acreditar su fecha de inicio.
Sobre el indicador:
1. Se entiende por proyecto de inversión a aquellos proyectos de conservación o inversión financiados por el subtítulo 31 del presupuesto del Servicio Local
2. Se entiende por proyecto de inversión y/o conservación que inician obras a aquellos proyectos que cuenten con acta entrega de terreno.
3. El informe de avance y listado de proyectos que inician obra deben: tener fecha de corte a junio, estar validado por el jefe/a de área y ser enviado en el mes de julio por Memorándum o correo electrónico al Director(a) Ejecutivo (a)
4. El informe de cumplimiento y listado de proyectos que inician obra deben: tener fecha de corte al a diciembre, estar validado por el jefe/a de área y ser enviado en el mismo mes por Memorándum o correo electrónico al Director(a) Ejecutivo (a)"
79,"Mejorar las condiciones físicas, de higiene, equipamiento y los recursos educativos.",Reformulado,Porcentaje de proyectos postulados para la obtención de reconocimiento oficial de jardines infantiles Y especialidades de EMTP,Infraestructura,Planificación y control de gestión,Infraestructura,(Número Proyectos Postulados de Jardines Infantiles o Especialidades de EMTP para la obtención de reconocimiento oficial en el año t/ Número proyectos de Jardines Infantiles y Especialidades de EMTP planificados para el ingreso para la obtención de reconocimiento oficial en el año t)*100,Porcentaje,"1. Listado de proyectos planificados para la postulación para la obtención del Reconocimiento Oficial. 
2. Comprobante de postulación por plataforma RO/AF u Oficio de ingreso a Secreduc
3. Informe de cumplimiento con listado de proyectos postulado","Para el cálculo del denominador:
1. Los listados de proyectos planificados deben ser validados por el jefe del centro de responsabilidad mediante su firma y enviados al jefe de servicio mediante memorándum o correo electrónico a más tardar en el mes de marzo.
Para el cálculo del numerador:
1. Comprobante de postulación de acuerdo a la modalidad de ingreso puede ser cualquiera de los siguientes:
*correo o imagen (pantallazo) de plataforma que compruebe el ingreso u,
* oficio de ingreso.
Sobre el indicador:
1. Se entiende por proyectos postulados a aquellas solicitudes de Reconocimiento Oficial o Autorización de Funcionamiento de Jardines Infantiles o Especialidades de EMTP ingresadas al Ministerio de Educación, en cualquiera de las alternativas que para ello disponga.
2. Para el cálculo del indicador se considerarán aquellos proyectos postulados hasta el 30 de diciembre del año t "
80,"Mejorar las condiciones físicas, de higiene, equipamiento y los recursos educativos.",Reformulado,Porcentaje de establecimientos educacionales con proyectos de infraestructura en ejecución y/o terminados,Infraestructura,Planificación y control de gestión,Infraestructura,(Número de EE con proyectos de infraestructura en ejecución y/o terminados en el año t/ Número total de EE con proyectos de infraestructura planificados para el año t)*100,Porcentaje,"1. Listado de establecimientos con proyectos de infraestructura.
2. Informe de avance
3. Listado de proyectos de infraestructura en ejecución y/o terminados en el territorio.
4. Informe de cumplimiento ","Para el cálculo del denominador:
1. El listado de establecimientos con proyectos de infraestructura planificados para ejecución en el territorio estará validado por el jefe del centro de responsabilidad y enviado mediante memorándum o correo electrónico al jefe de servicio a más tardar en abril del año t.
Para el cálculo del numerador:
1. Los listados de proyectos de infraestructura en ejecución o terminados deberán ser validados por el Jefe/a del Centro de responsabilidad e indicar al menos:
a) RBD y Nombre del EE.
b) Monto de la inversión
c) Fecha de inicio y termino del proyecto de infraestructura (fecha de termino solo para proyectos terminados).
2. Se entenderá por proyecto de infraestructura en ejecución a aquel que cuenta con un acta de entrega de terreno.
3. Proyecto de infraestructura terminado es aquel que cuenta con acta de recepción provisoria (RP) de obra.
4. El informe de avance debe: tener fecha de corte a junio, estar validado por el jefe/a de área y ser enviado en el mes de julio por Memorándum o correo electrónico al Director(a) Ejecutivo (a)
5. El informe de cumplimiento debe: tener fecha de corte al a diciembre, estar validado por el jefe/a de área y ser enviado en el mismo mes por Memorándum o correo electrónico al Director(a) Ejecutivo (a) 
Sobre el indicador:
1. No se considerará para el cálculo del indicador aquellos establecimientos cuya licitación se haya declarado desierta."
81,Resguardar la seguridad y bienestar de la comunidad educativa del SLEP ante diversas emergencias.,Reformulado,Porcentaje de establecimiento educacionales que cuentan con Plan Integral de Seguridad Escolar actualizado (PISE),Infraestructura,Gestión Personas,Infraestructura,(Número de EE que cuentan con Plan Integral de Seguridad Escolar (PISE) actualizado al año t/ Número total de EE en funcionamiento en el año t)*100,Porcentaje,"1. Reporte de Establecimientos Educacionales con Plan Integral de Seguridad Escolar (PISE).
2. Nómina de EE en funcionamiento","Para el cálculo del denominador:
1. El reporte y la nómina de EE en funcionamiento será validado por el jefe del centro de responsabilidad mediante su firma y enviado al Jefe de Servicio en la quincena siguiente al cierre del indicador
Para el cálculo del numerador:
1. Se entiende que un EE se considera en el numerador cuando dispone de un Plan Integral de Seguridad Escolar vigente al año t
Sobre el indicador:
1. Se entiende por establecimientos educacionales a las Escuelas y Liceos.
2. Se entiende por Establecimiento Educacional en funcionamiento los que cuentan con estudiantes matriculados y han impartido clases en el año t."
82,"Mejorar las condiciones físicas, de higiene, equipamiento y los recursos educativos.",Reformulado,"Porcentaje de establecimiento educacionales que cuentan con registro actualizado del estado de la infraestructura

",Infraestructura,Planificación y control de gestión,Infraestructura,(Número de EE que cuentan con registro actualizado del estado de la infraestructura al año t/ Número total de EE en funcionamiento en el año t)*100,Porcentaje,"1. Reporte de Establecimientos Educacionales con registro actualizado del estado de la infraestructura.
2. Nómina de EE en funcionamiento","Para el cálculo del denominador:
1. Se entiende por establecimientos educacionales a las Escuelas, Liceos y Jardines VTF.
2. Se entiende por Establecimiento Educacional en funcionamiento los que cuentan con estudiantes matriculados y han impartido clases en el año t.
Para el cálculo del numerador:
1. Se entiende por registro actualizado del estado de la infraestructura, a los datos cuantitativos y/o cualitativos de: pisos, techumbre, revestimientos, puertas, ventanas, servicios (agua, electricidad, alcantarillado)
Sobre el indicador:
1. El reporte debe contener los datos identificatorios de los EE:
- RBD
- Nombre y Dirección
- Comuna
2. El reporte y la nómina de EE en funcionamiento será validado por el jefe del centro de responsabilidad mediante su firma y enviado al Jefe de Servicio en la quincena siguiente al cierre del indicador
3. El reporte será presentado en diciembre y validado por el jefe del centro de responsabilidad mediante su firma."
83,"Mejorar las condiciones físicas, de higiene, equipamiento y los recursos educativos.",Reformulado,Porcentaje de proyectos de inversión en ejecución o terminados en el año t,Infraestructura,Planificación y control de gestión,Infraestructura,(Número de proyectos de inversión en ejecución o terminados en el año t/ Número total de proyectos de inversión de la cartera para el año t)*100,Porcentaje,"1. Cartera de proyectos
2. Informe de avance
3. Informe de cumplimiento","Para el cálculo del denominador:
1. La cartera de proyectos debe contener, al menos, lo siguiente:
a) fecha de postulación del proyecto
b) Nombre de la iniciativa/proyecto
c) Nombre del Establecimiento y RBD o Código Junji
d) Monto de la inversión
e) Proyección de ejecución presupuestaria
f) Código BIP
2. La cartera de proyectos de inversión debe estar formalizado a más tardar en abril del año t por el Jefe/a de CR de Planificación y Control de Gestión y enviado al Director(a) Ejecutivo (a). 
Para el cálculo del numerador:
1.Para el numerador se considerarán los proyectos de inversión en ejecución o ya terminados durante el año t, siempre y cuando se puedan acreditar las fechas de inicio y/o término.
2. Se entiende por proyecto de inversión a aquellos proyectos que cuentan con Recomendación Satisfactoria (RS) por parte del MDSF Y que son financiados por el subtítulo 31 del presupuesto del Servicio Local.
Sobre el indicador:
1. El informe de avance debe: tener fecha de corte a junio, estar validado por el jefe/a de área y ser enviado en el mes de julio por Memorándum o correo electrónico al Jefe/a de CR de Planificación y Control de Gestión
2. El informe de cumplimiento debe: tener fecha de corte al a diciembre, estar validado por el jefe/a de área y ser enviado en el mismo mes por Memorándum o correo electrónico al Jefe/a de CR de Planificación y Control de Gestión"
84,"Mejorar las condiciones físicas, de higiene, equipamiento y los recursos educativos.",Reformulado,Porcentaje de Proyectos de inversión y/o conservación terminados en el año t ,Infraestructura,Planificación y control de gestión,Infraestructura,(Número de proyectos de inversión y/o conservación terminados en el año t/ Número total de proyectos de inversión y/o conservación planificados a terminar el año t)*100,Porcentaje,"1. Plan de proyectos de inversión y/o conservación que terminarán en el año t
2. Listado de proyectos de inversión y/o conservación terminados en el año t a junio 
3. Informe de avance 
4. Informe de cumplimiento
5. Listado de proyectos de inversión y/o conservación terminados en el año t a diciembre","Para el cálculo del denominador:
1. El listado de proyectos de inversión y/o conservación terminados deberá indicar al menos:
a) Fecha de recepción provisoria
b) Nombre del proyecto.
c) Nombre del EE y RBD
d) Monto de la inversión.
e) Código BIP (Banco Integrado de Proyectos)
f) Plazo inicial y final de ejecución de contrato
2. El plan de proyectos de proyectos de inversión y/o conservación planificados a terminar, debe estar formalizado a más tardar en marzo por el Jefe de Servicio. Puede ser modificado solamente hasta junio, en sus hitos programados con posterioridad a la fecha de la modificación.
Para el cálculo del numerador:
1. Se considerarán para el numerador los proyectos de inversión y/o conservación terminados y que se puedan acreditar su fecha de ejecución o termino.
2. Se entiende por proyecto de inversión a aquellos proyectos de conservación o inversión financiados por el subtítulo 31 del presupuesto del Servicio Local
3. Se entiende por proyecto de inversión y/o conservación terminados a aquellos proyectos que cuenten con recepción provisoria.

Sobre el indicador:
1. El informe de avance y listado de proyectos terminados debe: tener fecha de corte a junio, estar validado por el jefe/a de área y ser enviado en el mes de julio por Memorándum o correo electrónico al Director(a) Ejecutivo (a)
2. El informe de cumplimiento y el listado de proyectos terminados deben: tener fecha de corte al a diciembre, estar validado por el jefe/a de área y ser enviado en el mismo mes por Memorándum o correo electrónico al Director(a) Ejecutivo (a)"
85,"Mejorar las condiciones físicas, de higiene, equipamiento y los recursos educativos.",Reformulado,Porcentaje de Proyectos presentados a DEP que mejoran al menos un estándar de infraestructura,Infraestructura,Planificación y control de gestión,Infraestructura,(Número de proyectos presentados a DEP en el año t que mejoran algún estándar de infraestructura en establecimientos de la educación pública / Número de proyectos presentados a DEP en el año t) *100,Porcentaje,"1. Listado de proyectos presentados a DEP que mejora al menos un estándar de infraestructura
2. Listado de proyectos presentados a DEP totales ","Para el cálculo del denominador:
1. El listado de proyectos presentados a DEP deberá indicar al menos:
a) Fecha de postulación del proyecto.
b) Nombre del proyecto.
c) Nombre del EE.
d) Monto de la inversión. 
e) Carta declaración cumplimiento de estándares presentada a DEP en inframineduc 
f) Código BIP
2. El Listado debe ser validados a más tardar en abril del año t, por el jefe del centro de responsabilidad mediante su firma y enviado a la DEP mediante correo electrónico u oficio.
3. El Listado puede ser modificado a más tardar en septiembre del año t.

Para el cálculo del numerador:
1. Se entenderá por proyectos que mejoran el estándar de salubridad y dignidad a intervenciones destinadas a asegurar el correcto funcionamiento de los servicios básicos (agua potable, alcantarillado y electricidad), a resguardar la salubridad de servicios higiénicos y cocinas, a solucionar problemas de filtraciones y humedales (goteras y similares), y a mitigar situaciones de riesgo existentes en el terreno de un establecimiento educacional.
2. Se entenderá proyectos que mejoran es estándar de habitabilidad y confort cuando el proyecto incluye partidas relacionadas a la envolvente térmica, a sistema de climatización, a sistema de ventilación y/o acondicionamiento acústico, y cumple(n) con las indicaciones establecidas en la tabla N°1 y en los numerales 2.4, 2.5, 6.2 y 6.3 de la “Guía para Intervenciones de Conservación – Espacios Educativos de Calidad, septiembre 2022
3. Se entenderá como proyecto que mejora el estándar de inclusión a aquel proyecto que incluye intervenciones destinadas a generar acceso de todos los usuarios al local escolar y al desplazamiento seguro y fluido dentro de este, principalmente recintos docentes, de atención de público y recintos sanitarios, en conformidad a lo indicado en el DS N°50 del Ministerio de Vivienda y Urbanismo
4. Se entenderá como proyecto que mejora el estándar de innovación en el aula a aquel proyecto que contempla obras físicas y/o mobiliario orientadas a la adaptación de aulas para los aprendizajes del siglo XXI de los niveles de prekínder y kínder, según lo indicado en el apartado 2.3 Aulas colaborativas, de la Guía del plan “Mejor Espacio, Mejor Educación”.

Sobre el indicador:
1. Se entenderá por estándares de infraestructura a:
- Salubridad y dignidad
- Habitabilidad y Confort 
- Innovación en aula
- Inclusión"
